mc1,mc2,mc3,mc4,mc5,mc6,mc7,mc8
0,1,0,1,0,1,0,1
0,0,0,1,0,0,1,0
1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1
1,0,0,1,1,1,0,0
1,0,0,1,0,0,0,0
1,1,1,1,0,1,1,1
1,1,1,1,0,1,0,1
0,1,0,0,0,0,0,1
1,0,1,1,1,1,1,1
0,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0
1,1,0,1,1,1,0,1
0,1,1,1,0,1,1,0
1,1,1,1,0,0,1,1
1,1,1,1,0,1,1,1
1,1,1,1,0,0,0,1
1,1,1,1,0,1,0,1
1,1,0,1,0,1,1,1
1,1,1,1,0,1,0,0
1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1
1,1,1,1,0,1,0,1
1,1,0,1,1,0,0,1
1,0,1,1,0,1,0,1
1,1,1,1,0,1,0,1
1,1,1,1,0,0,1,1
1,1,0,1,1,1,1,1
1,0,0,1,0,1,0,1
1,1,1,1,1,0,0,1
1,1,1,1,0,0,1,1
0,1,1,1,0,1,1,1
1,1,0,1,0,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,1
1,1,0,0,1,0,1,0
1,1,0,1,0,0,1,0
1,1,1,1,1,1,1,1
1,0,0,1,0,1,0,1
1,0,1,1,0,1,1,1
1,1,0,1,1,0,1,1
1,1,0,1,0,1,1,1
1,1,1,0,1,0,1,1
1,1,0,1,0,1,0,1
1,1,1,1,0,1,1,1
1,1,0,1,1,1,1,1
1,1,1,1,0,1,1,1
1,1,0,1,0,1,1,1
1,1,0,1,0,1,0,1
0,1,0,0,0,0,1,1
1,0,0,1,0,0,1,1
1,1,1,0,0,1,0,0
0,1,1,1,0,0,0,0
0,1,1,1,0,0,1,1
1,1,1,1,0,1,1,1
1,1,0,1,1,1,0,1
1,1,1,1,0,1,1,1
1,1,0,1,0,0,0,1
1,1,1,1,1,0,1,1
0,1,0,0,0,0,0,1
1,1,1,1,0,1,1,0
1,1,0,1,0,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,0,1,0,0
1,1,1,1,0,1,1,1
1,1,0,1,0,1,0,1
1,1,0,1,1,0,1,1
1,1,0,0,0,1,0,0
1,1,1,1,0,1,1,1
1,1,1,1,0,1,0,1
1,1,0,1,1,1,1,1
0,1,0,1,0,1,0,1
1,0,0,0,0,1,0,0
0,0,0,1,0,1,0,1
1,1,0,1,0,1,0,1
1,0,0,1,0,1,1,0
1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1
1,1,0,1,0,1,1,0
1,1,0,1,0,1,1,0
1,1,0,1,0,1,1,1
1,1,0,1,0,0,0,0
1,1,0,1,0,1,1,0
0,1,0,1,0,1,1,1
1,1,1,1,1,1,1,1
0,0,0,1,1,1,0,1
0,1,1,0,1,1,0,0
1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1
1,0,0,1,0,1,0,0
1,0,0,1,0,1,0,0
1,1,0,1,0,1,0,0
0,0,0,1,0,1,1,1
0,0,0,1,0,1,0,0
1,0,0,1,0,1,0,0
0,1,1,1,1,1,0,1
1,1,0,1,0,0,1,0
1,1,0,1,0,0,1,1
1,1,1,1,0,1,0,1
0,1,0,1,0,0,1,0
1,1,1,1,1,1,1,1
0,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1
1,1,1,1,0,1,1,1
0,1,0,1,0,1,0,1
1,1,0,1,0,1,1,1
1,1,0,1,0,1,0,1
1,1,0,1,0,1,1,1
1,1,0,0,0,0,1,0
1,1,0,1,0,1,0,1
1,0,0,1,1,1,0,1
1,1,0,1,0,1,0,1
1,0,0,1,0,0,0,0
1,1,1,1,0,1,0,1
1,1,0,1,0,1,0,0
1,1,0,1,0,0,0,0
1,1,1,1,1,1,1,0
0,0,1,1,0,1,0,1
1,1,0,1,1,0,1,0
1,0,0,0,0,0,0,1
1,1,1,1,0,1,1,1
0,0,0,1,0,1,0,1
1,1,0,1,0,0,0,1
1,1,1,1,0,0,1,1
1,1,1,1,0,1,1,1
1,1,1,1,0,1,0,0
1,1,0,1,0,1,1,0
0,1,0,0,0,0,0,0
1,1,1,0,0,1,1,1
1,0,1,1,0,0,0,1
1,1,1,1,0,1,0,1
1,1,1,1,0,1,0,1
1,0,0,1,0,1,0,0
1,1,1,1,0,1,1,0
1,1,1,1,0,1,1,1
1,0,0,1,0,1,0,0
1,0,0,1,0,1,0,1
0,1,0,1,0,1,1,1
0,1,1,1,0,1,0,1
1,1,1,1,1,1,1,1
0,0,0,1,0,1,0,1
1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1
0,0,0,1,0,0,1,1
1,1,0,1,0,1,0,0
